Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Condition,Wave,Trial,TargetName,Outcome,ReactionTime_ms,RT_s, Gaze_Precision, Locked_On_Target_Status, Gaze_Hit_Location_x, Gaze_Hit_Location_y,Gaze_Hit_Location_z, Reticle_Aim_Direction_x,Reticle_Aim_Direction_y, Reticle_Aim_Direction_z, Target_Distance_From_Camera
789.624,2025-10-08T00:17:34.0809370Z,638954794540809470,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,30,Target_Down,Incorrect,925,0.93,0.000,False,-0.227,-3.755,9.500,-0.531,0.963,3.003,10.595
791.139,2025-10-08T00:17:35.5959410Z,638954794555959510,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,30,Target_Up,Incorrect,1008,1.01,0.000,False,0.039,4.959,9.500,-0.434,1.189,3.014,10.851
792.517,2025-10-08T00:17:36.9748260Z,638954794569748370,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,31,Target_Right,Hit,854,0.85,0.098,True,1.302,1.606,9.500,0.409,1.168,3.019,10.728
794.381,2025-10-08T00:17:38.8385120Z,638954794588385220,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,31,Target_Left,Incorrect,1338,1.34,0.000,False,-4.218,1.166,9.500,-0.055,1.063,3.049,10.725
795.950,2025-10-08T00:17:40.4072850Z,638954794604072940,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,31,Target_Up,Incorrect,1035,1.04,0.000,False,-2.925,2.361,10.478,-0.088,1.255,3.040,10.847
797.596,2025-10-08T00:17:42.0533300Z,638954794620533380,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,32,Target_Right,Hit,1131,1.13,0.000,False,0.999,1.039,9.938,0.218,0.819,3.036,10.727
799.168,2025-10-08T00:17:43.6256690Z,638954794636256790,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,33,Target_Center,Hit,1048,1.05,0.000,True,2.749,-0.773,9.500,0.783,0.502,2.902,9.953
800.761,2025-10-08T00:17:45.2186340Z,638954794652186410,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,34,Target_Center,Hit,1069,1.07,0.827,True,-0.722,1.047,9.500,-0.192,1.022,3.044,9.955
802.153,2025-10-08T00:17:46.6099560Z,638954794666099640,STEVEN100725C,Simple Disorientation Tasks,Delay, 2,34,Target_Down,Incorrect,868,0.87,0.000,False,-0.227,-3.755,9.500,0.711,1.009,2.966,10.595
812.421,2025-10-08T00:17:56.8788330Z,638954794768788400,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,35,Target_Up,Hit,731,0.73,0.889,True,0.591,5.291,9.500,0.172,2.298,2.764,10.852
814.035,2025-10-08T00:17:58.4924770Z,638954794784924840,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,36,Target_Center,Hit,1089,1.09,0.549,True,-1.540,1.183,9.500,-0.496,1.099,3.006,9.956
815.230,2025-10-08T00:17:59.6874410Z,638954794796874490,STEVEN100725C,Simple Disorientation Tasks,Inversion_Yaw, 3,37,Target_Right,Hit,669,0.67,0.913,True,4.496,1.225,9.500,1.284,1.103,2.746,10.741
